year_month,article_count,rate_per_100k,mean_title_sentiment,mean_title_risk,mean_body_risk,avg_sentiment,avg_risk,mean_body_sentiment,tweet_count,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,avg_likes,article_count_lag1,mean_title_risk_lag1,mean_body_risk_lag1,mean_title_sentiment_lag1,mean_body_sentiment_lag1,FIRE_Acres_Burned_lag1,tweet_count_lag1,avg_risk_lag1,avg_sentiment_lag1,avg_likes_lag1,log_rate,logdiff_rate
2011-02,1.0,0.7150166153500858,0.028871102258563,0.0,0.0150966183574879,-0.4655726974985252,0.0476190476190476,-0.2734556403011083,6,1.8251636904761903,65.17999850403125,3.888905960111317,20825.07380952381,2.2142857142857144,52.02493764172336,54.875,23.0,35.53,165915.7844,73931.5091,0.0,1.0,0.1428571428571428,0.0189393939393939,-0.4840318923816085,0.0047609061002731,62.42,0.0,0.0218019977786161,-0.185547397795992,7.516662220269161,0.5394227688217512,-0.24063360834018965
2011-03,1.0,0.8210572150842086,0.0211480110883712,0.0,0.0052631578947368,-0.0128726076334714,0.0,0.1981565803289413,5,2.769434523809524,71.87884344598054,3.954296594982079,23070.016666666663,2.0,56.382177914099145,54.25,19.875,3770.74,437934.4799,135220.3591,1.0,1.0,0.0,0.0150966183574879,0.028871102258563,-0.2734556403011083,35.53,6.0,0.0476190476190476,-0.4655726974985252,0.0,0.5994172198478267,0.05999445102607548
2011-04,0.0,0.8331761407681084,-0.1254130841795442,0.03678334284674929,0.020488750894470626,-0.185547397795992,0.0218019977786161,-0.16730804050438527,0,0.247782738095238,63.94491511684634,4.1656899154589375,23602.39642857143,3.2857142857142856,62.66267522901909,57.75,24.75,146.96,389099.5814,194892.8458,7.516662220269161,1.0,0.0,0.0052631578947368,0.0211480110883712,0.1981565803289413,3770.74,5.0,0.0,-0.0128726076334714,1.0,0.6060500584950981,0.006632838647271377
2011-05,0.0,0.8755923806617576,-0.1254130841795442,0.03678334284674929,0.020488750894470626,-0.185547397795992,0.0218019977786161,-0.16730804050438527,0,0.3950892857142857,60.899084189664,4.474293669080535,26401.388095238093,2.7142857142857144,66.10541220923854,59.1875,27.8125,3941.78,280276.5356,332708.7278,7.516662220269161,0.0,0.03678334284674929,0.020488750894470626,-0.1254130841795442,-0.16730804050438527,146.96,0.0,0.0218019977786161,-0.185547397795992,7.516662220269161,0.6289245458779313,0.022874487382833264
2011-06,0.0,0.9695140547119806,-0.1254130841795442,0.03678334284674929,0.020488750894470626,-0.185547397795992,0.0218019977786161,-0.16730804050438527,0,0.3882291666666666,64.78362952421142,4.141312397372742,23334.92976190476,1.2857142857142858,70.71184868137131,60.875,25.125,6524.92,307407.0823,632311.8517,7.516662220269161,0.0,0.03678334284674929,0.020488750894470626,-0.1254130841795442,-0.16730804050438527,3941.78,0.0,0.0218019977786161,-0.185547397795992,7.516662220269161,0.6777868395861388,0.048862293708207494
2011-07,0.0,1.2573385397046,-0.1254130841795442,0.03678334284674929,0.020488750894470626,-0.1702408357678602,0.072980222391987,-0.16730804050438527,15,0.114360119047619,62.211833259899166,3.949559033847132,23242.911904761902,0.2857142857142857,75.26367785093105,60.9375,29.9375,20093.99,176503.74730000002,724270.4484999999,0.5333333333333333,0.0,0.03678334284674929,0.020488750894470626,-0.1254130841795442,-0.16730804050438527,6524.92,0.0,0.0218019977786161,-0.185547397795992,7.516662220269161,0.8141864820256658,0.13639964243952696
2011-08,0.0,1.4785089334357706,-0.1254130841795442,0.03678334284674929,0.020488750894470626,-0.2515754725318402,0.0,-0.16730804050438527,4,0.0486160714285714,62.17156279713983,3.627561880323977,21366.79761904762,0.1428571428571428,74.71028429255209,61.75,32.125,5325.34,85381.9921,506605.27,0.0,0.0,0.03678334284674929,0.020488750894470626,-0.1254130841795442,-0.16730804050438527,20093.99,15.0,0.072980222391987,-0.1702408357678602,0.5333333333333333,0.9076571428439024,0.09347066081823663
2011-09,0.0,1.669382012957192,-0.1254130841795442,0.03678334284674929,0.020488750894470626,-0.1618834799155593,0.0,-0.16730804050438527,2,0.170610119047619,64.31087671879513,3.447763822949636,19745.27341269841,0.0,72.31674087173785,67.125,40.125,24530.69,73911.6949,216002.5257,0.0,0.0,0.03678334284674929,0.020488750894470626,-0.1254130841795442,-0.16730804050438527,5325.34,4.0,0.0,-0.2515754725318402,0.0,0.9818469898008493,0.07418984695694686
2011-10,0.0,1.769363149849365,-0.1254130841795442,0.03678334284674929,0.020488750894470626,-0.0163180753588676,0.2361111111111111,-0.16730804050438527,2,0.6298164682539682,65.75358643642849,3.32271952301499,19671.569444444445,0.4444444444444444,66.51943884960362,69.9375,33.875,2883.5199999999995,83128.3469,115792.8792,0.0,0.0,0.03678334284674929,0.020488750894470626,-0.1254130841795442,-0.16730804050438527,24530.69,2.0,0.0,-0.1618834799155593,0.0,1.0186173839642638,0.036770394163414544
2011-11,1.0,1.4845683962777205,-0.0096698254346847,0.0909090909090909,0.0377643504531722,-0.185547397795992,0.0218019977786161,-0.2967628687620163,0,1.3832242063492064,70.06796718208356,3.4977812557015144,20144.51388888889,1.4285714285714284,57.43589012041598,64.875,24.9375,229.96,61822.94989999999,66921.6698,7.516662220269161,0.0,0.03678334284674929,0.020488750894470626,-0.1254130841795442,-0.16730804050438527,2883.5199999999995,2.0,0.2361111111111111,-0.0163180753588676,0.0,0.910098960873396,-0.10851842309086779
