year_month,article_count,rate_per_100k,mean_title_sentiment,mean_title_risk,mean_body_risk,avg_sentiment,avg_risk,mean_body_sentiment,tweet_count,avg_likes
2011-02,1.0,0.7150166153500858,0.028871102258563,0.0,0.0150966183574879,-0.4655726974985252,0.0476190476190476,-0.2734556403011083,6,0.0
2011-03,1.0,0.8210572150842086,0.0211480110883712,0.0,0.0052631578947368,-0.0128726076334714,0.0,0.1981565803289413,5,1.0
2011-04,0.0,0.8331761407681084,-0.1254130841795442,0.0367833428467492,0.0204887508944706,-0.185547397795992,0.0218019977786161,-0.1673080405043852,0,7.516662220269161
2011-05,0.0,0.8755923806617576,-0.1254130841795442,0.0367833428467492,0.0204887508944706,-0.185547397795992,0.0218019977786161,-0.1673080405043852,0,7.516662220269161
2011-06,0.0,0.9695140547119806,-0.1254130841795442,0.0367833428467492,0.0204887508944706,-0.185547397795992,0.0218019977786161,-0.1673080405043852,0,7.516662220269161
2011-07,0.0,1.2573385397046,-0.1254130841795442,0.0367833428467492,0.0204887508944706,-0.1702408357678602,0.072980222391987,-0.1673080405043852,15,0.5333333333333333
2011-08,0.0,1.4785089334357706,-0.1254130841795442,0.0367833428467492,0.0204887508944706,-0.2515754725318402,0.0,-0.1673080405043852,4,0.0
2011-09,0.0,1.669382012957192,-0.1254130841795442,0.0367833428467492,0.0204887508944706,-0.1618834799155593,0.0,-0.1673080405043852,2,0.0
2011-10,0.0,1.769363149849365,-0.1254130841795442,0.0367833428467492,0.0204887508944706,-0.0163180753588676,0.2361111111111111,-0.1673080405043852,2,0.0
2011-11,1.0,1.4845683962777203,-0.0096698254346847,0.0909090909090909,0.0377643504531722,-0.185547397795992,0.0218019977786161,-0.2967628687620163,0,7.516662220269161
2011-12,0.0,1.3724683337016477,-0.1254130841795442,0.0367833428467492,0.0204887508944706,-0.9106748620979488,0.0,-0.1673080405043852,1,0.0
2012-01,1.0,1.36024602616735,-0.3201564401388168,0.1538461538461538,0.0381679389312977,-0.185547397795992,0.0218019977786161,-0.1650360263884067,0,7.516662220269161
2012-02,1.0,1.369254277996273,0.03270576428622,0.0,0.0,-0.6252142591401935,0.0,0.0623860862106084,2,0.0
