Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
2001-01,3.83,61.54838709677419,2.987096774193548,2225.4,0.0,52.29032258064516,53.0,17.0,,12225.9641,277.3101,0.5217239323897956
2001-02,3.88,70.10714285714286,3.0107142857142857,2022.8,0.0,53.78928571428571,55.0,18.5,,36831.5654,556.7557,0.2608619661948978
2001-03,3.66,79.76666666666667,2.5806451612903225,1926.7,0.0,60.03548387096774,61.0,29.0,,27449.2184,1210.9238,0.1304309830974489
2001-04,1.06,73.93333333333334,2.943333333333334,2113.9,0.0,62.26,52.5,22.5,,54951.99,1218.4393,0.2608619661948978
2001-05,0.04,80.16666666666667,2.667741935483871,1984.1,0.0,67.98709677419355,71.5,43.0,,29149.4639,432.9895,0.0
2001-06,0.01,79.6,2.693333333333334,1938.3,0.0,72.02666666666667,66.5,31.5,,9032.4264,1526.6559,0.7825858985846933
2001-07,0.0,80.6774193548387,2.6548387096774193,1972.5,0.0,74.3483870967742,67.0,31.0,,2232.6079,1277.3229,0.2608619661948978
2001-08,0.0,80.90322580645162,2.6322580645161286,1958.0,0.0,74.67096774193548,63.0,35.5,,3685.9562,1142.979,0.2608619661948978
2001-09,0.0,80.72413793103448,3.0233333333333334,2099.6,0.0,73.29333333333334,61.5,29.0,,3727.2744,1820.9234,0.0
2001-10,0.26,83.61290322580645,2.7129032258064516,2025.1,0.0,68.48387096774194,66.5,40.0,,9023.4921,1443.2644,0.2608619661948978
2001-11,2.62,77.03333333333333,2.896666666666667,2083.5,0.0,62.61666666666667,67.0,26.5,,14494.985,482.6125,0.0
2001-12,1.46,66.54838709677419,3.2419354838709675,2414.2,0.0,55.05483870967742,44.0,11.0,,26994.1828,456.3125,0.1304309830974489
2002-01,1.37,63.645161290322584,3.270967741935484,2437.9,0.0,53.90967741935484,56.0,34.0,,58022.1987,1553.2025,0.1282891740614684
2002-02,0.3,57.142857142857146,3.875,2605.5,1.0,54.732142857142854,62.0,31.0,,19996.0776,584.1617,0.0
2002-03,0.24,63.45161290322581,3.52258064516129,2621.8,0.0,58.12580645161291,44.0,18.5,,22266.3668,672.7887,0.1282891740614684
2002-04,0.03,77.6,3.3633333333333337,2421.6,0.0,63.080000000000005,59.5,29.0,,18579.7788,3530.8677,0.2565783481229369
2002-05,0.09,77.45161290322581,3.3096774193548386,2464.1,0.0,66.6516129032258,61.5,27.0,,8460.1074,2313.7314,0.0
2002-06,0.0,80.56666666666666,3.1300000000000003,2243.3,0.0,70.95,64.5,35.0,,2910.3667,1243.3125,0.2565783481229369
2002-07,0.0,81.29032258064517,3.061290322580646,2277.5,0.0,74.15483870967742,64.0,34.0,,1623.2033,1425.8425,0.1282891740614684
