Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
2001-01,,,,,,,122.0,62.5,,17923.0209,31083.7981,0.8039209906450395
2001-02,,,,,,,56.0,15.5,,15235.9692,1064.4822,0.5359473270966929
2001-03,,,,,,,60.5,42.0,,31041.9392,21045.8658,0.5359473270966929
2001-04,,,,,,,58.0,31.0,,69037.4968,983.8063,0.2679736635483464
2001-05,,,,,,,58.0,50.5,,48884.6828,2024.3338,1.0718946541933858
2001-06,,,,,,,46.0,42.0,,36669.1033,2955.8281,1.3398683177417323
2001-07,,,,,,,53.0,39.0,,39307.3103,6290.6704,1.3398683177417323
2001-08,,,,,,,55.0,50.0,,6947.7205,25160.0878,2.1437893083867716
2001-09,,,,,,,61.0,57.0,,9495.5273,7138.5445,3.215683962580158
2001-10,,,,,,,73.0,66.0,,9460.32,59704.9806,3.215683962580158
2001-11,,,,,,,45.0,59.0,,573.8962,2254.98,3.215683962580158
2001-12,,,,,,,88.0,22.0,,710.0834,2917.4788,2.1437893083867716
2002-01,,,,,,,117.0,38.0,,7700.583,308.222,0.7903722126206636
2002-02,,,,,,,112.0,45.0,,13600.3149,34382.8005,0.7903722126206636
2002-03,0.39,59.72727272727273,3.2363636363636363,853.0,0.0,,79.0,31.0,,26112.4802,13675.8311,0.5269148084137757
2002-04,0.4,54.8,3.78,2725.9,0.0,,73.5,43.0,,75162.2882,807.2125,1.8442018294482148
2002-05,0.05,42.96774193548387,3.690322580645161,2747.8,0.0,74.18333333333334,72.0,37.0,,68647.0818,899.3055,3.6884036588964295
2002-06,0.0,42.03333333333333,3.4099999999999997,2455.8,0.0,80.64,76.0,45.0,,32747.6676,1257.2702,0.5269148084137757
2002-07,0.0,42.935483870967744,2.870967741935484,2140.5,0.0,84.66774193548386,84.0,47.0,,9917.7251,12881.775,3.4249462546895417
2002-08,0.0,44.483870967741936,2.8193548387096774,2094.1,0.0,81.37741935483871,78.5,54.0,,9300.6884,1304.055,2.3711166378619906
2002-09,0.0,44.36666666666667,2.933333333333333,2106.5,0.0,76.95333333333333,66.0,60.0,,9878.7988,4509.345,2.3711166378619906
2002-10,0.0,57.58064516129032,2.5290322580645164,1879.1,0.0,65.0741935483871,88.5,66.0,,3730.2549,1721.15,2.1076592336551028
2002-11,0.93,80.6896551724138,2.3,1654.5,0.0,56.59,117.0,60.0,,2134.9792,4495.5564,2.6345740420688784
2002-12,1.48,81.64516129032258,2.6516129032258067,1973.1,0.0,51.15161290322581,71.0,19.0,,1485.2221,62856.6765,2.3711166378619906
2003-01,0.19,92.25806451612904,2.596774193548387,1930.1,0.0,51.62580645161291,89.5,36.0,,9462.1313,279.3863,1.543436151904986
2003-02,1.04,77.57142857142857,3.1392857142857147,2107.1,0.0,53.167857142857144,77.0,20.0,,11982.7199,13191.3369,2.5723935865083103
2003-03,0.43,63.67741935483871,3.832258064516129,2853.3,0.0,58.880645161290325,58.0,30.0,,11656.9651,9897.0089,2.5723935865083103
2003-04,1.34,61.266666666666666,3.996666666666667,2875.4,0.0,63.343333333333334,39.0,19.0,,25672.768,1114.5876,2.315154227857479
2003-05,0.51,49.45161290322581,3.774193548387097,2805.3,0.0,71.48064516129033,61.0,29.0,,25957.8539,5588.1231,1.800675510555817
2003-06,0.0,41.53333333333333,3.86,2779.3,0.0,80.74666666666667,62.5,35.0,,31425.7841,3803.316,1.028957434603324
2003-07,0.0,41.354838709677416,3.138709677419355,2332.2,0.0,83.28709677419356,65.0,44.0,,12617.9747,4930.1483,2.8296329451591413
2003-08,0.0,47.58064516129032,3.416129032258065,2549.7,0.0,82.19677419354838,61.0,44.0,,5059.9464,3330.5055,4.373069097064127
2003-09,0.0,46.7,3.0266666666666664,2176.3,0.0,78.35666666666665,70.0,63.0,,761.3886,6326.774,3.858590379762465
2003-10,0.17,51.54838709677419,2.793548387096774,2077.2,0.0,69.34193548387097,85.0,58.0,,1313.2119,40625.8792,4.8875478143657896
2003-11,0.38,74.26666666666667,2.51,1807.0,0.0,56.71333333333334,86.5,36.5,,1007.6488,33470.8565,4.8875478143657896
2003-12,1.14,80.16129032258064,2.938709677419354,2186.7,0.0,51.670967741935485,69.0,30.0,,8754.6763,11120.7961,4.115829738413296
2004-01,0.89,86.74193548387096,2.7870967741935484,2070.6,0.0,49.690322580645166,94.0,29.0,,27231.9969,16092.3137,3.2644779597514977
2004-02,1.83,74.41379310344827,3.1758620689655173,2211.5,0.0,51.66206896551724,70.0,10.0,,10732.5425,1419.7255,2.0089095136932293
