County,Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
Kern,2020-09,0.0375,42.375,3.1875,2298.3,0.0,76.215,116.0,81.5,0.0,28546.8421,96887.3189,22.87660053716018
Kern,2020-10,0.1025,44.177419354838705,2.983064516129032,2217.15,0.0,69.49274193548388,81.0,84.0,0.0,22255.0212,37703.6733,29.47561992287946
Kern,2020-11,0.5700000000000001,55.84166666666667,3.318333333333334,2385.2,0.25,56.7175,91.0,51.5,0.0,7091.6851,11298.874,26.836012168591747
Kern,2020-12,0.485,57.32123655913978,3.179811827956989,2346.25,0.25,49.0691129032258,88.0,44.0,0.0,5691.4692,2153.8496,25.846159260733856
Kern,2021-01,0.6799999999999999,60.814516129032256,4.023387096774194,2994.95,2.0,48.729838709677416,93.0,34.0,0.0,38625.217,7468.6083,31.19660475114369
Kern,2021-02,0.0175,50.52678571428571,3.8848214285714286,2610.0,0.25,53.94642857142858,62.5,35.0,14.3,22230.3333,18020.3354,27.228132061952262
Kern,2021-03,0.415,47.336420096403415,4.639516129032258,3450.3,1.5,57.50860215053763,53.0,25.0,1.4900000000000002,60302.8983,37230.0549,26.78719065204211
Kern,2021-04,0.1575,37.575,4.509166666666667,3249.0,1.0,66.34111111111112,56.0,40.0,36.46,119091.4415,79979.2854,16.97624428154109
Kern,2021-05,0.0,32.61290322580645,4.54516129032258,3381.9,0.75,74.0516129032258,56.0,44.0,99.58,95803.8034,151576.5952,23.259659372760844
Kern,2021-06,0.0,32.575,4.340833333333333,3128.3,0.0,80.39962962962964,56.0,41.0,957.67,72759.2653,211525.1631,24.692718954968857
Kern,2021-07,0.235,31.15581797235023,3.8741935483870966,2881.425,0.0,83.93440860215054,59.0,42.0,556.76,70453.2262,274244.0459,30.755663341233532
Kern,2021-08,0.0424999999999999,31.913440860215054,4.119354838709677,3063.675,0.25,83.04758960573477,82.0,63.0,695.63,19301.3982,197383.4784,26.456484594609492
