Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
2001-01,6.803333333333334,72.07624521072798,3.5419354838709673,2637.233333333333,0.0,49.1757865392274,75.0,18.0,,866.6087,342.8375,1.5906976004326698
2001-02,4.463333333333334,72.86728395061728,4.035082706766917,2393.3333333333335,0.0,50.567058201058195,29.5,12.5,,1494.5369,834.51,0.3976744001081674
2001-03,2.8533333333333335,76.05029239766083,4.076548899129544,2779.7000000000003,0.3333333333333333,57.57434715821813,49.0,13.0,,7998.5469,752.5,1.9883720005408372
2001-04,1.4666666666666668,74.9639846743295,4.337777777777778,3124.566666666667,0.0,58.54333333333333,39.0,16.0,,11882.6886,1222.1875,0.3976744001081674
2001-05,0.1399999999999999,67.39784946236558,3.960215053763441,2944.866666666667,0.0,66.39032258064516,55.5,24.0,,15520.2418,1108.0486,1.1930232003245025
2001-06,0.02,62.5816091954023,4.001111111111111,2881.9666666666667,0.0,69.67111111111112,43.0,21.5,,13063.1056,785.5647,0.3976744001081674
2001-07,0.0033333333333333,73.52222222222223,3.8236559139784942,2842.5,0.0,70.85376344086022,31.0,17.0,,8841.5033,2590.25,1.5906976004326698
2001-08,0.0,70.86245519713262,3.693548387096774,2747.4,0.0,70.58420467185762,29.0,20.0,,6674.0043,678.1381,1.5906976004326698
2001-09,0.02,70.59961685823755,3.598222222222222,2436.9,0.0,68.39133333333334,38.0,21.0,,6262.7863,27.25,2.3860464006490045
2001-10,0.3966666666666666,72.65022137887412,3.2020240354206195,2113.866666666667,0.0,63.46951296647692,47.0,29.0,,5185.7266,370.0,1.9883720005408372
2001-11,3.5700000000000003,81.36153256704982,3.259463601532566,2217.6,0.0,59.61397701149425,66.0,17.0,,2428.4729,336.0,3.1813952008653397
2001-12,2.72,78.34408602150538,3.530107526881721,2627.0666666666666,0.0,52.36774193548388,55.0,15.0,,1013.2392,372.75,1.1930232003245025
2002-01,0.9133333333333334,71.02150537634408,3.546236559139785,2639.6666666666665,0.0,50.95392273994424,64.0,16.0,,1204.1803,39.75,3.9512729025655617
2002-02,0.73,67.89285714285714,3.723809523809523,2503.9666666666667,0.0,52.18823809523809,31.0,18.0,,2423.4328,177.8,1.1853818707696684
2002-03,1.5,72.9032258064516,3.934408602150538,2929.1,0.3333333333333333,54.54408602150537,44.0,17.0,,7038.5005,372.05,0.7902545805131123
2002-04,0.67,74.34444444444445,3.604444444444444,2237.5,0.0,59.84814814814814,47.0,17.5,,12840.9178,292.375,0.7902545805131123
2002-05,0.3733333333333333,71.25806451612904,4.19247311827957,3119.1,0.0,62.88817204301075,50.5,20.0,,10081.8675,613.8072,1.9756364512827809
2002-06,0.0533333333333333,66.81111111111112,4.27,3077.433333333333,0.0,67.56666666666666,49.0,22.0,,10305.8016,19369.3,1.1853818707696684
2002-07,0.04,68.16129032258065,3.929032258064516,2927.2666666666664,0.0,70.0763440860215,37.0,22.0,,8198.827,349.18,1.1853818707696684
2002-08,0.0366666666666666,70.76344086021506,3.746236559139785,2789.5333333333333,0.0,68.96774193548386,58.0,28.0,,6347.6533,136.9081,2.765891031795893
2002-09,0.02,64.47777777777777,3.4811111111111113,2506.0,0.0,66.96333333333332,32.0,30.0,,5492.1198,415.0,0.7902545805131123
2002-10,0.0,73.41935483870968,3.1086021505376347,2313.7000000000003,0.0,61.5752688172043,50.0,29.0,,4857.2401,607.625,1.5805091610262243
2002-11,1.7666666666666668,66.9888888888889,3.77,2083.8333333333335,0.6666666666666666,57.537777777777784,57.0,24.0,,1256.062,859.0,0.7902545805131123
2002-12,4.323333333333333,81.6989247311828,3.63763440860215,1315.6333333333334,0.0,53.064516129032256,34.0,15.0,,764.5523,427.0,1.1853818707696684
2003-01,0.1566666666666666,76.3010752688172,3.57741935483871,2660.9666666666667,0.0,54.79462365591397,57.5,18.5,,1618.2509,406.0375,3.141270801102586
2003-02,1.7266666666666668,70.71428571428571,3.6940476190476192,2484.9,0.0,53.99880952380952,37.0,19.0,,3081.2279,7.0,0.7853177002756465
2003-03,1.7533333333333332,72.75268817204301,4.049462365591398,3011.7666666666664,0.0,57.07419354838709,29.0,18.0,,5768.6957,108.0,0.0
2003-04,1.1733333333333331,74.43888888888888,4.083333333333333,2512.6,0.0,59.51833333333334,24.5,12.5,,8603.3453,332.5,0.7853177002756465
2003-05,1.2166666666666666,69.55913978494624,4.196774193548387,3117.4666666666667,0.0,64.50967741935484,40.0,20.0,,11208.0149,77.6,1.963294250689116
2003-06,0.6633333333333333,70.63333333333334,3.865555555555556,2786.2666666666664,0.0,68.73,52.5,20.0,,10026.4578,1073.8125,1.1779765504134698
2003-07,0.18,61.53763440860215,3.6655913978494623,2727.7666666666664,0.0,71.89892473118279,44.0,23.0,,11374.2975,245.5256,1.570635400551293
2003-08,0.0733333333333333,68.49462365591398,3.6408602150537632,2710.633333333333,0.0,71.68817204301075,37.5,20.0,,7502.5411,533.4831,1.963294250689116
2003-09,0.1033333333333333,67.54444444444444,3.2264367816091952,2302.766666666667,0.0,69.32222222222222,52.0,25.5,,5521.6877,318.75,2.748611950964763
2003-10,0.2333333333333333,58.30107526881721,3.2129032258064516,2388.633333333333,0.0,64.73225806451613,43.0,33.0,,3917.8955,29.3891,3.926588501378233
2003-11,1.0666666666666669,70.14444444444445,3.3333333333333335,2396.5,0.3333333333333333,56.63999999999999,57.0,17.5,,1255.1351,109.8292,4.711906201653879
